Name,Diameter,Lat,Lon,LonE
Lyot R,32470,-46.17,87.34,87.34
Von der Pahlen E,32460,-24.52,-128.91,231.09
Bergstrand G,32440,-19.86,179.28,179.28
Hagecius B,32420,-60.48,49.03,49.03
G. Bond B,32380,29.95,34.67,34.67
Pictet A,32380,-45.01,-7.93,352.07
Hagecius F,32320,-62.38,44.92,44.92
Watt L,32300,-52.65,57.75,57.75
Koval'skiy Q,32290,-23.44,99.09,99.09
Lebedev D,32260,-45.16,113.05,113.05
Messala F,32250,38.85,64.38,64.38
Cooper K,32230,50.86,178.09,178.09
Lindsay,32230,-7,13.01,13.01
Kostinskiy D,32210,16.08,123.08,123.08
Doerfel R,32200,-71.24,-119.86,240.14
Espin E,32160,28.43,111.58,111.58
Bailly V,32150,-71.91,-81.45,278.55
Mitchell,32150,49.77,20.17,20.17
Bobone,32140,26.7,-132.12,227.88
Macrobius T,32130,23.78,48.55,48.55
Proclus G,32130,12.73,42.7,42.7
Gemma Frisius C,32030,-35.71,18.74,18.74
McNair,32020,-35.93,-147.95,212.05
Walther W,31980,-32.83,-2.57,357.43
Maclaurin P,31930,-6.11,69.45,69.45
De La Rue E,31920,56.85,49.82,49.82
Roberts P,31920,66.69,178.8,178.8
Brianchon B,31900,72.15,-89.18,270.82
Kramers M,31900,50.2,-127.35,232.65
Woltjer P,31880,42.94,-161.6,198.4
Challis A,31820,77.27,1.98,1.98
Desargues E,31820,70.33,-67.66,292.34
Maraldi E,31820,17.87,35.76,35.76
Rocca P,31820,-11.12,-71.89,288.11
Alpetragius X,31780,-15.61,-5.74,354.26
Hall,31770,33.81,36.75,36.75
Grissom K,31750,-49.47,-146.17,213.83
Lockyer H,31750,-44.48,32.38,32.38
Bohnenberger,31740,-16.24,40.06,40.06
Agrippa S,31710,5.28,8.89,8.89
Pontecoulant C,31710,-55.68,59.23,59.23
Heymans T,31700,74.66,-155.73,204.27
Helmholtz S,31670,-64.41,56.7,56.7
Maskelyne D,31660,2.41,32.45,32.45
Plummer W,31660,-23.48,-155.97,204.03
Tannerus D,31640,-55.93,17.93,17.93
Silberschlag P,31630,6.8,12.01,12.01
Denning U,31600,-15.86,138.85,138.85
McLaughlin A,31600,51.32,-92.32,267.68
Mosting M,31590,-1.37,-4.36,355.64
Kulik L,31580,40.5,-153.66,206.34
Rowland N,31580,55.04,-164.12,195.88
Bayer H,31540,-53.53,-32.68,327.32
Kostinskiy E,31490,15.17,122.59,122.59
Fontana,31470,-16.04,-56.79,303.21
Sommerfeld V,31450,66.37,-170.43,189.57
Stark Y,31440,-24.33,134,134
Safarik,31420,10.44,176.7,176.7
Houssay,31410,83.11,98.52,98.52
Mutus T,31360,-59.23,21.26,21.26
Adams B,31330,-31.54,65.7,65.7
Pentland D,31300,-63.22,13.96,13.96
Teisserenc Q,31280,31.05,-137.54,222.46
Proclus P,31270,15.34,48.73,48.73
Blancanus E,31260,-66.68,-21.83,338.17
Husband,31260,-40.32,-147.84,212.16
Nother X,31230,68.68,-117.5,242.5
Berkner Y,31190,27.76,-106.32,253.68
Clairaut F,31180,-45.78,14.35,14.35
Jenner Y,31180,-38.5,94.77,94.77
Apollonius B,31170,5.87,57.6,57.6
Lyell,31170,13.63,40.56,40.56
Vega B,31170,-46.23,63.5,63.5
Arnold E,31150,71.48,38.1,38.1
Schjellerup N,31100,66.14,156.65,156.65
Ibn-Rushd,31080,-11.69,21.71,21.71
Legendre L,31060,-28.12,73.5,73.5
van Wijk,31060,-62.5,119.06,119.06
Abul Wafa Q,31040,0.14,115.88,115.88
Langrenus E,31030,-12.73,60.72,60.72
Nijland V,31000,34.59,131.61,131.61
Seidel M,31000,-35.29,152.29,152.29
Hommel G,30950,-58.11,27.4,27.4
Lodygin R,30880,-18.41,-149.59,210.41
Paneth K,30870,61.49,-92.82,267.18
Torricelli,30870,-4.72,28.4,28.4
Bose A,30840,-49.66,-167.45,192.55
Kircher A,30830,-65.95,-42.39,317.61
Gadomski A,30820,38.28,-146.43,213.57
Rosenberger W,30820,-58.86,42.65,42.65
Romer E,30760,28.48,39.18,39.18
Petrov B,30750,-62.2,90.81,90.81
Dreyer W,30740,11.77,95.8,95.8
Messala G,30700,39.07,68.91,68.91
Denning B,30690,-14.78,143.69,143.69
Anuchin N,30680,-51.28,100.03,100.03
Mezentsev Q,30680,69.17,-136.38,223.62
Klaproth G,30670,-68.69,-31.51,328.49
Maclaurin N,30670,-3.82,68.39,68.39
Cajori K,30640,-49.29,169.62,169.62
Gutenberg G,30640,-6.05,40.04,40.04
Polzunov J,30630,23.61,117.44,117.44
Brunner L,30610,-12.43,91.56,91.56
Pirquet S,30610,-20.52,138.09,138.09
Maclaurin C,30600,-1.25,69.4,69.4
Plummer C,30570,-23.3,-152.95,207.05
Hagecius G,30560,-61.86,47.6,47.6
Busching D,30550,-38.75,21.8,21.8
Rost D,30550,-56.63,-31,329
Helmholtz T,30530,-65.8,60.08,60.08
Volkov J,30520,-14.43,132.34,132.34
Airy C,30490,-19.25,4.77,4.77
Boss F,30490,54.17,89.09,89.09
Fischer,30480,7.99,142.44,142.44
Hertzsprung R,30390,-0.27,-132.8,227.2
Newcomb F,30390,31.42,42.63,42.63
Barbier V,30370,-22.27,154.58,154.58
d'Arsonval,30360,-10.31,124.59,124.59
Dove,30360,-46.83,31.42,31.42
Michelson H,30350,4.35,-117.48,242.52
von Bekesy T,30350,52,121.73,121.73
Van den Bergh F,30320,30.84,-155.07,204.93
Larmor W,30310,33.74,177.69,177.69
Lippmann P,30300,-56.01,-115.12,244.88
Poinsot E,30290,79.77,-131.43,228.57
Vasco da Gama S,30290,12.63,-82.94,277.06
Riccioli F,30270,-8.73,-73.89,286.11
Lichtenberg R,30260,34.58,-70.06,289.94
Mutus Z,30250,-64.1,34.63,34.63
Nother A,30240,68.92,-112.87,247.13
Segers H,30240,46.53,128.92,128.92
Wilkins D,30220,-27.87,17.63,17.63
Zach B,30190,-58.65,2.78,2.78
Schubert K,30170,2.41,75.88,75.88
Hatanaka,30150,29.33,-121.92,238.08
Rumford A,30150,-25.16,-169.09,190.91
Gill B,30120,-61.82,70.46,70.46
Froelich M,30100,77.32,-110.87,249.13
Kinau C,30070,-60.68,20.51,20.51
Grigg P,30040,10.52,-131.59,228.41
Paraskevopoulos U,30040,50.09,-155.07,204.93
Piccolomini J,30010,-25.01,30.14,30.14
Arnold K,30000,70.71,42.38,42.38
Wiechert U,29960,-83.43,149.04,149.04
Congreve N,29930,-3.66,-168.57,191.43
Purbach G,29920,-23.94,-2.81,357.19
Dobrovol'skiy M,29900,-14.6,129.65,129.65
Pontanus H,29890,-31.41,16.06,16.06
Keeler U,29860,-8.98,156.91,156.91
Pannekoek D,29860,-2.26,143.56,143.56
Cassegrain H,29840,-52.84,115.66,115.66
Lyot S,29840,-46.12,85.57,85.57
Wolf S,29840,-21.09,-16.37,343.63
Milne L,29830,-33.89,113.29,113.29
Das G,29800,-26.85,-135.5,224.5
Riedel Z,29790,-47.47,-140.16,219.84
